HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-03-31 21:00;2024-03-31 23:00;DK1;409,480011;54,900002
2024-03-31 21:00;2024-03-31 23:00;DK2;409,480011;54,900002
2024-03-31 20:00;2024-03-31 22:00;DK1;481,160004;64,510002
2024-03-31 20:00;2024-03-31 22:00;DK2;481,160004;64,510002
2024-03-31 19:00;2024-03-31 21:00;DK1;522,109985;70,000000
2024-03-31 19:00;2024-03-31 21:00;DK2;522,109985;70,000000
2024-03-31 18:00;2024-03-31 20:00;DK1;624,440002;83,720001
2024-03-31 18:00;2024-03-31 20:00;DK2;624,440002;83,720001
2024-03-31 17:00;2024-03-31 19:00;DK1;874,830017;117,290001
2024-03-31 17:00;2024-03-31 19:00;DK2;874,830017;117,290001
2024-03-31 16:00;2024-03-31 18:00;DK1;666,210022;89,320000
2024-03-31 16:00;2024-03-31 18:00;DK2;666,210022;89,320000
2024-03-31 15:00;2024-03-31 17:00;DK1;497,790009;66,739998
2024-03-31 15:00;2024-03-31 17:00;DK2;497,790009;66,739998
2024-03-31 14:00;2024-03-31 16:00;DK1;306,329987;41,070000
2024-03-31 14:00;2024-03-31 16:00;DK2;306,329987;41,070000
2024-03-31 13:00;2024-03-31 15:00;DK1;243,149994;32,599998
2024-03-31 13:00;2024-03-31 15:00;DK2;243,149994;32,599998
2024-03-31 12:00;2024-03-31 14:00;DK1;228,830002;30,680000
2024-03-31 12:00;2024-03-31 14:00;DK2;228,830002;30,680000
2024-03-31 11:00;2024-03-31 13:00;DK1;246,880005;33,099998
2024-03-31 11:00;2024-03-31 13:00;DK2;246,880005;33,099998
2024-03-31 10:00;2024-03-31 12:00;DK1;264,489990;35,459999
2024-03-31 10:00;2024-03-31 12:00;DK2;264,489990;35,459999
2024-03-31 09:00;2024-03-31 11:00;DK1;263,809998;35,369999
2024-03-31 09:00;2024-03-31 11:00;DK2;263,809998;35,369999
2024-03-31 08:00;2024-03-31 10:00;DK1;306,029999;41,029999
2024-03-31 08:00;2024-03-31 10:00;DK2;313,559998;42,040001
2024-03-31 07:00;2024-03-31 09:00;DK1;375,320007;50,320000
2024-03-31 07:00;2024-03-31 09:00;DK2;367,790009;49,310001
2024-03-31 06:00;2024-03-31 08:00;DK1;485,040009;65,029999
2024-03-31 06:00;2024-03-31 08:00;DK2;485,040009;65,029999
2024-03-31 05:00;2024-03-31 07:00;DK1;533,369995;71,510002
2024-03-31 05:00;2024-03-31 07:00;DK2;533,369995;71,510002
2024-03-31 04:00;2024-03-31 06:00;DK1;480,790009;64,459999
2024-03-31 04:00;2024-03-31 06:00;DK2;480,790009;64,459999
2024-03-31 03:00;2024-03-31 05:00;DK1;438,119995;58,740002
2024-03-31 03:00;2024-03-31 05:00;DK2;438,119995;58,740002
2024-03-31 02:00;2024-03-31 04:00;DK1;451,100006;60,480000
2024-03-31 02:00;2024-03-31 04:00;DK2;451,100006;60,480000
2024-03-31 01:00;2024-03-31 03:00;DK1;484,670013;64,980003
2024-03-31 01:00;2024-03-31 03:00;DK2;484,670013;64,980003
2024-03-31 00:00;2024-03-31 01:00;DK1;497,570007;66,709999
2024-03-31 00:00;2024-03-31 01:00;DK2;497,570007;66,709999
2024-03-30 23:00;2024-03-31 00:00;DK1;564,619995;75,699997
